"UF","CODIGO_MUNICIPIO","NOME_MUNICIPIO","DIA","MES"
"AM",130080,"Borba",1,1
"PA",150611,"Quatipuru",1,1
"PA",150796,"Terra Alta",1,1
"TO",170770,"Filadélfia",1,1
"TO",171370,"Monte Santo do Tocantins",1,1
"TO",172049,"São Valério",1,1
"TO",172130,"Tupiratins",1,1
"MA",210237,"Cachoeira Grande",1,1
"MA",210390,"Duque Bacelar",1,1
"MA",210570,"Lago da Pedra",1,1
"PI",220005,"Acauã",1,1
"PI",220030,"Alto Longá",1,1
"PI",220860,"Prata do Piauí",1,1
"PE",260760,"Ilha de Itamaracá",1,1
"PE",261280,"Santa Terezinha",1,1
"PE",261510,"Terezinha",1,1
"AL",270290,"Girau do Ponciano",1,1
"AL",270300,"Ibateguara",1,1
"SE",280670,"São Cristóvão",1,1
"MG",310050,"Açucena",1,1
"MG",310390,"Araújos",1,1
"MG",310460,"Astolfo Dutra",1,1
"MG",310500,"Baldim",1,1
"MG",310570,"Barra Longa",1,1
"MG",310870,"Brás Pires",1,1
"MG",311265,"Capitão Andrade",1,1
"MG",311300,"Caraí",1,1
"MG",311360,"Careaçu",1,1
"MG",311545,"Catuji",1,1
"MG",311690,"Comendador Gomes",1,1
"MG",311700,"Comercinho",1,1
"MG",311710,"Conceição da Aparecida",1,1
"MG",311740,"Conceição de Ipanema",1,1
"MG",311920,"Coroaci",1,1
"MG",311980,"Córrego Danta",1,1
"MG",312015,"Crisólita",1,1
"MG",312180,"Dionísio",1,1
"MG",312330,"Dores do Turvo",1,1
"MG",312385,"Entre Folhas",1,1
"MG",312460,"Estrela Dalva",1,1
"MG",312595,"Fervedouro",1,1
"MG",312760,"Gouveia",1,1
"MG",312930,"Iapu",1,1
"MG",313320,"Itanhomi",1,1
"MG",313430,"Itumirim",1,1
"MG",313545,"Jenipapo de Minas",1,1
"MG",313570,"Jequitibá",1,1
"MG",313700,"Ladainha",1,1
"MG",313865,"Lontra",1,1
"MG",313870,"Luminárias",1,1
"MG",313890,"Machacalis",1,1
