Conteúdo da Mensagem; Minuta de Resposta;Assunto/Encaminhamento
Solicitação de Assessoria Jurídica, interpretação de legislação. ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Esclarecemos que não dispomos de serviço de assessoria jurídica e nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Assessoria Jurídica
Perguntas aleatórias, sem sentido, sem possibilidade de encaminhamento. ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Assuntos Gerais
Pedidos de acesso a base de dados do Portal da Legislação completa.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Esclarecemos que os dados da Legislação Federal Brasileira, mantidos pelo Centro de Estudos Jurídicos da Presidência da República, são disponibilizados para consulta pública, exclusivamente, por meio do portal: https://legislacao.presidencia.gov.br

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Portal da Legislação - Base de dados
Legislação histórica anterior a 1808;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que a legislação histórica disponível no portal abrange o período imperial brasileiro, iniciado em 1808. Documentos que possuem datas anteriores, referentes ao período colonial, devem ser pesquisados em arquivos públicos nacionais, estaduais ou municipais. Para informações adicionais, sugerimos entrar em contato com o Arquivo Nacional por meio do FalaBR - https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,

";Legislação Histórica
Interpretação de Legislação, Lei, Decreto, etc.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que o Centro de Estudos Jurídicos da Presidência não tem como função a interpretação de atos normativos. Sugerimos buscar uma assessoria jurídica ou consultar um advogado especialista.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Interpretação de Atos
Defesa do consumidor, processo, reclamação. ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que você entre em contato com o Instituto de Defesa do Consumidor (Procon) de sua região.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Procon
Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome (MDS). Bolsa Família, cadastro único, cesta básica, etc ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome por meio dos canais de atendimento indicados no link: https://www.gov.br/mds/pt-br/acesso-a-informacao/participacao-social/fale-conosco

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
"; Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome
Projeto de Lei em tramitação,  solicitação de criação ou  alteração de leis.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Câmara dos Deputados por meio dos canais de atendimento indicados: https://www2.camara.leg.br/transparencia/servicos-ao-cidadao/atendimento-e-relacionamento-com-o-cidadao ou pesquisar na página Propostas Legislativas da Câmara dos Deputados - https://www.camara.leg.br/busca-portal/proposicoes/pesquisa-simplificada

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Câmara dos Deputados
Revogação de Ato;"Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

Esclarecemos que, após realização de pesquisa em nossa base, não foi localizada revogação expressa para o Decreto nº 908, de 31 de agosto de 1993.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Revogação de Ato
Vigilância Sanitária;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line - http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Agência Nacional de Vigilância Sanitária - Anvisa por meio do canal FALA.BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";ANVISA
