,DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
9256,2011-01-02,2011-01-08,CENTRO OESTE,DISTRITO FEDERAL,ETANOL HIDRATADO,80,R$/l,2.03,0.003,2.02,2.05,0.411,0.001,1.619,0.013,1.6111,1.6411,0.008
9257,2011-01-02,2011-01-08,CENTRO OESTE,GOIAS,ETANOL HIDRATADO,255,R$/l,1.717,0.102,1.49,1.99,0.225,0.059,1.492,0.069,1.3221,1.6201,0.046
9258,2011-01-02,2011-01-08,CENTRO OESTE,MATO GROSSO,ETANOL HIDRATADO,141,R$/l,1.848,0.148,1.59,2.49,0.326,0.08,1.522,0.105,1.2833,1.7486,0.069
9259,2011-01-02,2011-01-08,CENTRO OESTE,MATO GROSSO DO SUL,ETANOL HIDRATADO,132,R$/l,1.893,0.108,1.699,2.199,0.191,0.057,1.702,0.04,1.5915,1.79,0.024
9260,2011-01-02,2011-01-08,NORDESTE,ALAGOAS,ETANOL HIDRATADO,97,R$/l,2.026,0.084,1.749,2.1,0.268,0.0409999999999999,1.758,0.042,1.63,1.848,0.024
9261,2011-01-02,2011-01-08,NORDESTE,BAHIA,ETANOL HIDRATADO,422,R$/l,1.944,0.1009999999999999,1.68,2.299,0.294,0.052,1.65,0.084,1.4,1.9801,0.051
9262,2011-01-02,2011-01-08,NORDESTE,CEARA,ETANOL HIDRATADO,205,R$/l,1.903,0.1119999999999999,1.759,2.19,0.161,0.059,1.742,0.078,1.427,2.1812,0.045
9263,2011-01-02,2011-01-08,NORDESTE,MARANHAO,ETANOL HIDRATADO,122,R$/l,1.932,0.105,1.7,2.39,0.19,0.054,1.742,0.073,1.5434,1.923,0.042
9264,2011-01-02,2011-01-08,NORDESTE,PARAIBA,ETANOL HIDRATADO,120,R$/l,1.84,0.087,1.689,2.05,0.194,0.047,1.646,0.05,1.5756,1.8935,0.03
9265,2011-01-02,2011-01-08,NORDESTE,PERNAMBUCO,ETANOL HIDRATADO,336,R$/l,1.887,0.119,1.5,2.299,0.217,0.063,1.67,0.051,1.56,1.8965,0.031
9266,2011-01-02,2011-01-08,NORDESTE,PIAUI,ETANOL HIDRATADO,83,R$/l,2.067,0.087,1.87,2.28,0.228,0.042,1.839,0.114,1.4542,1.9811,0.062
9267,2011-01-02,2011-01-08,NORDESTE,RIO GRANDE DO NORTE,ETANOL HIDRATADO,114,R$/l,1.959,0.057,1.85,2.12,0.263,0.0289999999999999,1.696,0.135,1.3639,1.9554,0.08
9268,2011-01-02,2011-01-08,NORDESTE,SERGIPE,ETANOL HIDRATADO,53,R$/l,1.912,0.077,1.699,2.048,0.253,0.04,1.659,0.089,1.4532,1.7822,0.054
9269,2011-01-02,2011-01-08,NORTE,ACRE,ETANOL HIDRATADO,39,R$/l,2.367,0.15,2.28,2.79,0.449,0.063,1.918,0.098,1.6523,2.0207,0.051
9270,2011-01-02,2011-01-08,NORTE,AMAPA,ETANOL HIDRATADO,17,R$/l,2.065,0.026,2.05,2.16,0.445,0.013,1.62,0,1.6199,1.6199,0
9271,2011-01-02,2011-01-08,NORTE,AMAZONAS,ETANOL HIDRATADO,81,R$/l,2.112,0.072,1.99,2.4,0.198,0.034,1.914,0.051,1.7172,1.97,0.027
9272,2011-01-02,2011-01-08,NORTE,PARA,ETANOL HIDRATADO,100,R$/l,2.119,0.159,1.899,2.609,0.181,0.075,1.938,0.124,1.808,2.2957,0.064
9273,2011-01-02,2011-01-08,NORTE,RONDONIA,ETANOL HIDRATADO,102,R$/l,2.044,0.107,1.95,2.25,0.366,0.052,1.678,0.115,1.5393,1.8203,0.069
9274,2011-01-02,2011-01-08,NORTE,RORAIMA,ETANOL HIDRATADO,17,R$/l,2.341,0.038,2.2,2.39,0.254,0.016,2.087,0.082,1.9312,2.2082,0.039
9275,2011-01-02,2011-01-08,NORTE,TOCANTINS,ETANOL HIDRATADO,59,R$/l,1.919,0.093,1.68,2.1,0.324,0.048,1.595,0.032,1.5619,1.6503,0.02
