Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21595,453495,02/07/19,16:48:00,Ewallet,431.9,4.761904762,21595,8.2
253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7,34.44,723.24,03/12/19,12:43:00,Credit card,688.8,4.761904762,34.44,8.7
254-31-0042,A,Yangon,Member,Male,Electronic accessories,21.5,9,9675,203175,03/06/19,12:46:00,Credit card,193.5,4.761904762,9675,7.8
256-08-8343,A,Yangon,Normal,Female,Home and lifestyle,56.53,4,11306,237426,03/04/19,19:48:00,Ewallet,226.12,4.761904762,11306,5.5
256-58-3609,C,Naypyitaw,Member,Male,Fashion accessories,91.98,1,4599,96579,3/18/2019,15:29:00,Cash,91.98,4.761904762,4599,9.8
257-60-7754,A,Yangon,Normal,Female,Electronic accessories,50.23,4,10046,210966,01/08/19,17:12:00,Cash,200.92,4.761904762,10046,9
257-73-1380,C,Naypyitaw,Member,Male,Sports and travel,82.93,4,16586,348306,1/20/2019,16:51:00,Ewallet,331.72,4.761904762,16586,9.6
258-69-7810,C,Naypyitaw,Normal,Female,Fashion accessories,36.85,5,9.2125,193.4625,1/26/2019,18:53:00,Cash,184.25,4.761904762,9.2125,9.2
258-92-7466,A,Yangon,Normal,Female,Health and beauty,35.68,5,8.92,187.32,02/06/19,18:33:00,Credit card,178.4,4.761904762,8.92,6.6
261-12-8671,B,Mandalay,Normal,Female,Fashion accessories,60.96,2,6096,128016,1/25/2019,19:39:00,Credit card,121.92,4.761904762,6096,4.9
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28744,603624,03/06/19,15:07:00,Credit card,574.88,4.761904762,28744,6.2
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22068,463428,01/09/19,14:20:00,Credit card,441.36,4.761904762,22068,8.6
263-12-5321,A,Yangon,Member,Male,Electronic accessories,92.6,7,32.41,680.61,2/27/2019,12:52:00,Credit card,648.2,4.761904762,32.41,9.3
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,14265,299565,3/18/2019,17:38:00,Ewallet,285.3,4.761904762,14265,7.8
266-20-6657,C,Naypyitaw,Member,Male,Food and beverages,55.04,7,19264,404544,03/12/19,19:39:00,Ewallet,385.28,4.761904762,19264,5.2
266-76-6436,C,Naypyitaw,Member,Female,Food and beverages,38.6,3,5.79,121.59,3/28/2019,13:57:00,Ewallet,115.8,4.761904762,5.79,7.5
267-62-7380,C,Naypyitaw,Member,Male,Electronic accessories,82.34,10,41.17,864.57,3/29/2019,19:12:00,Ewallet,823.4,4.761904762,41.17,4.3
268-03-6164,B,Mandalay,Normal,Male,Health and beauty,96.11,1,4.8055,100.9155,1/25/2019,16:28:00,Ewallet,96.11,4.761904762,4.8055,7.8
268-20-3585,C,Naypyitaw,Normal,Female,Health and beauty,13.85,9,6.2325,130.8825,02/04/19,12:50:00,Ewallet,124.65,4.761904762,6.2325,6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22588,474348,03/09/19,14:57:00,Ewallet,451.76,4.761904762,22588,7.3
269-04-5750,B,Mandalay,Member,Male,Fashion accessories,73.82,4,14764,310044,2/21/2019,18:31:00,Cash,295.28,4.761904762,14764,6.7
269-10-8440,A,Yangon,Member,Male,Health and beauty,53.17,7,18.6095,390.7995,1/21/2019,18:01:00,Cash,372.19,4.761904762,18.6095,8.9
271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,29.22,6,8766,184086,01/01/19,11:40:00,Ewallet,175.32,4.761904762,8766,5
271-88-8734,C,Naypyitaw,Member,Female,Fashion accessories,97.21,10,48605,1020705,02/08/19,13:00:00,Credit card,972.1,4.761904762,48605,8.7
272-27-9238,C,Naypyitaw,Normal,Female,Food and beverages,41.24,4,8248,173208,2/19/2019,16:23:00,Cash,164.96,4.761904762,8248,7.1
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27396,575316,1/15/2019,17:17:00,Ewallet,547.92,4.761904762,27396,4.7
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20:00,Credit card,66.4,4.761904762,3.32,4.4
273-84-2164,C,Naypyitaw,Member,Male,Electronic accessories,12.05,5,3.0125,63.2625,2/16/2019,15:53:00,Ewallet,60.25,4.761904762,3.0125,5.5
274-05-5470,A,Yangon,Member,Female,Food and beverages,73.47,4,14694,308574,2/23/2019,18:30:00,Cash,293.88,4.761904762,14694,6
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,2/25/2019,16:21:00,Cash,63.69,4.761904762,3.1845,6
276-54-0879,B,Mandalay,Normal,Male,Sports and travel,97.74,4,19548,410508,03/12/19,19:53:00,Ewallet,390.96,4.761904762,19548,6.4
276-75-6884,A,Yangon,Normal,Female,Health and beauty,68.71,3,10.3065,216.4365,03/04/19,10:05:00,Cash,206.13,4.761904762,10.3065,8.7
277-35-5865,C,Naypyitaw,Member,Female,Food and beverages,98.97,9,44.5365,935.2665,03/09/19,11:23:00,Cash,890.73,4.761904762,44.5365,6.7
277-63-2961,B,Mandalay,Member,Male,Sports and travel,73.97,1,3.6985,77.6685,02/03/19,15:53:00,Credit card,73.97,4.761904762,3.6985,5.4
278-86-2735,A,Yangon,Normal,Female,Food and beverages,52.34,3,7851,164871,3/27/2019,14:03:00,Cash,157.02,4.761904762,7851,9.2
278-97-7759,A,Yangon,Member,Female,Electronic accessories,62.48,1,3124,65604,2/18/2019,20:29:00,Cash,62.48,4.761904762,3124,4.7
